City,Lat,Lng,Temp Max,Humidity,Cloudiness,Wind Speed,Country,Date,Hotel
rikitea,-23.12,-134.97,23.26,66.0,5,3.81,PF,1603306758,
bunawan,8.17,126.08,22.94,97.0,100,0.78,PH,1603306770,
bengkulu,-3.8,102.27,25.23,84.0,100,2.15,ID,1603306782,
alofi,-19.06,-169.92,23.0,100.0,100,6.2,NU,1603306790,
acajutla,13.59,-89.83,27.0,65.0,20,2.1,SV,1603306496,
ponta do sol,32.67,-17.1,19.0,59.0,20,2.1,PT,1603306557,
port-gentil,-0.72,8.78,26.0,88.0,20,3.1,GA,1603306795,
kirakira,-10.45,161.92,26.27,78.0,67,2.61,SB,1603306801,
kapaa,22.08,-159.32,24.0,83.0,75,3.6,US,1603306805,
ribeira grande,38.52,-28.7,18.0,59.0,40,3.1,PT,1603306810,
sao jose da coroa grande,-8.9,-35.15,26.89,74.0,2,4.83,BR,1603306813,
wanning,18.8,110.4,21.08,82.0,100,5.7,CN,1603306817,
victoria,22.29,114.16,23.89,65.0,100,0.89,HK,1603306524,
luderitz,-26.65,15.16,19.34,47.0,0,1.84,,1603306644,
